U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;23.5V;0.150A;0.149A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.0 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.1 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.2 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.3 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.4 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.5 
50.0V;23.5V;0.150A;0.149A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.6 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.7 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.8 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13023.9 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.0 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.1 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.2 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.3 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.4 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.5 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.6 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.7 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.8 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13024.9 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.0 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.1 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.2 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.3 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.4 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.5 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.6 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.7 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.8 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13025.9 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13026.0 
50.0V;23.4V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CV;None;13026.1 
50.0V;23.4V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13026.2 
50.0V;23.4V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13026.3 
